WWW-DATA,WWW-DATA
WHOOPSIE,
UUCP,UUCP
USBMUX,USBMUX DAEMON
SYS,SYS
SYSLOG,
SYNC,SYNC
STATD,
SPEECH-DISPATCHER,SPEECH DISPATCHER
SANED,
RTKIT,REALTIMEKIT
ROOT,ROOT
PULSE,PULSEAUDIO DAEMON
PROXY,PROXY
NOBODY,NOBODY
NEWS,NEWS
MESSAGEBUS,
MAN,MAN
MAIL,MAIL
LUANCOMPUTACAO,LUAN R. S. SANTANA
LP,LP
LIST,MAILING LIST MANAGER
LIGHTDM,LIGHT DISPLAY MANAGER
LIBUUID,
KERNOOPS,KERNEL OOPS TRACKING DAEMON
IRC,IRCD
HPLIP,HPLIP SYSTEM USER
GUEST-NVIWIH,GUEST
GUEST-NEKQPU,GUEST
GUEST-ISEOZF,GUEST
GNATS,GNATS BUG-REPORTING SYSTEM (ADMIN)
GAMES,GAMES
DNSMASQ,DNSMASQ
DAEMON,DAEMON
COLORD,COLORD COLOUR MANAGEMENT DAEMON
BIN,BIN
BACKUP,BACKUP
AVAHI,AVAHI MDNS DAEMON
AVAHI-AUTOIPD,AVAHI AUTOIP DAEMON
